id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1304165844851863562,1304165844851863562,1599772342000,2020-09-11,02:42:22,+0530,1011963421372436480,scotnews_edits,scotnews_edits,,How will the A-level U-turn affect UK university admissions? | Higher education | The Guardian  https://www.theguardian.com/education/2020/aug/19/how-will-the-a-level-u-turn-affect-uk-university-admissions … pic.twitter.com/ZwNQVasweM,en,[],['https://www.theguardian.com/education/2020/aug/19/how-will-the-a-level-u-turn-affect-uk-university-admissions'],"['https://pbs.twimg.com/media/EhlT5dxWsAUxCdw.png', 'https://pbs.twimg.com/media/EhlT68nX0AcXCkQ.jpg']",0,0,0,[],[],https://twitter.com/scotnews_edits/status/1304165844851863562,False,,0,,,,,,,"[{'user_id': '1011963421372436480', 'username': 'scotnews_edits'}]",,,,
1304165576802209792,1304165576802209792,1599772278000,2020-09-11,02:41:18,+0530,209323397,juniortheyoung,"Junior Peña, M.S.",,Working in higher education be like:  pic.twitter.com/knj2bdrZGp,en,[],[],['https://pbs.twimg.com/media/EhlTrdKWkAcij94.jpg'],2,12,69,[],[],https://twitter.com/JuniorTheYoung/status/1304165576802209792,False,,0,,,,,,,"[{'user_id': '209323397', 'username': 'JuniorTheYoung'}]",,,,
1304165474624778243,1304165465535721472,1599772254000,2020-09-11,02:40:54,+0530,16335288,henrymcmaster,Gov. Henry McMaster,,"Finally, $100 million should be authorized for the reimbursement of verified and legitimate COVID-19 expenses incurred by state agencies, counties, municipalities, first responders, law enforcement agencies, public institutions of higher education, and technical colleges.

(5/5)",en,[],[],[],8,0,8,[],[],https://twitter.com/henrymcmaster/status/1304165474624778243,False,,0,,,,,,,"[{'user_id': '16335288', 'username': 'henrymcmaster'}]",,,,
1304165232667918336,1303957568272904192,1599772196000,2020-09-11,02:39:56,+0530,1186901364548558848,wearing_it,I LOVE WEARING IT,,"This is what you dont get. ALL races (regardless of wealthy or poor) go to school. The races in those schools will sit in the same lessons learning the same thing. If the ""individual"" wants to become educated they will, they can all go into higher education there are no races...",en,"['benmillard2', 'jxshir0', 'cliftonaduncan', 'lozzafox']",[],[],2,0,0,[],[],https://twitter.com/wearing_it/status/1304165232667918336,False,,0,,,,,,,"[{'user_id': '1186901364548558848', 'username': 'wearing_it'}, {'user_id': '631016536', 'username': 'benmillard2'}, {'user_id': '758471325212082176', 'username': 'jxshir0'}, {'user_id': '1219389106217783297', 'username': 'cliftonaduncan'}, {'user_id': '81371986', 'username': 'LozzaFox'}]",,,,
1304165074064543744,1303076440791904256,1599772158000,2020-09-11,02:39:18,+0530,2718883787,jonhopkins1217,Jon Hopkins,,"Higher education is one of the biggest bubbles in America, how many suffer because of it? How many prosper? That’s the trade-off those who benefit from it are too scared to mention.",en,"['mkevane', 'jess_hoel']",[],[],1,0,0,[],[],https://twitter.com/JonHopkins1217/status/1304165074064543744,False,,0,,,,,,,"[{'user_id': '2718883787', 'username': 'JonHopkins1217'}, {'user_id': '57685475', 'username': 'mkevane'}, {'user_id': '1327008728', 'username': 'Jess_Hoel'}]",,,,
1304165057803231234,1304165057803231234,1599772154000,2020-09-11,02:39:14,+0530,9192272,monrodriguez,mon Rodriguez-Amat,,Higher education in the UK is morally bankrupt. I’m taking my research millions and I’m off | Ulf Schmidt  https://www.theguardian.com/education/2020/sep/08/higher-education-in-the-uk-is-morally-bankrupt-im-taking-my-family-and-my-research-millions-and-im-off …,en,[],['https://www.theguardian.com/education/2020/sep/08/higher-education-in-the-uk-is-morally-bankrupt-im-taking-my-family-and-my-research-millions-and-im-off'],[],0,0,1,[],[],https://twitter.com/monrodriguez/status/1304165057803231234,False,,0,,,,,,,"[{'user_id': '9192272', 'username': 'monrodriguez'}]",,,,
1304164957194510338,1304164725987606528,1599772130000,2020-09-11,02:38:50,+0530,95820801,bbridges72,Bryan Bridges-Limon,,I almost forgot the evils of affordable quality healthcare and higher education.,en,[],[],[],0,0,0,[],[],https://twitter.com/bbridges72/status/1304164957194510338,False,,0,,,,,,,"[{'user_id': '95820801', 'username': 'bbridges72'}]",,,,
1304164752113926146,1304164752113926146,1599772081000,2020-09-11,02:38:01,+0530,2478721137,stevenmoffa,steven,,higher education is a scam,en,[],[],[],2,1,4,[],[],https://twitter.com/stevenmoffa/status/1304164752113926146,False,,0,,,,,,,"[{'user_id': '2478721137', 'username': 'stevenmoffa'}]",,,,
1304164656387424256,1304164656387424256,1599772058000,2020-09-11,02:37:38,+0530,18802787,bassberrysims,"Bass, Berry & Sims",,"Higher Education attorney Audrey Anderson discussed the possibility of college tuition refunds during COVID-19 for an article in @recordonline. Learn more:  http://bit.ly/TuitionCOVID 
#HigherEducation #HigherEd #TuitionRefunds #COVID19 pic.twitter.com/LhvjRPAEf2",en,['recordonline'],['http://bit.ly/TuitionCOVID'],['https://pbs.twimg.com/media/EhlS10eXkAcZuyy.jpg'],0,0,1,"['#highereducation', '#highered', '#tuitionrefunds', '#covid19']",[],https://twitter.com/BassBerrySims/status/1304164656387424256,False,,0,,,,,,,"[{'user_id': '18802787', 'username': 'BassBerrySims'}, {'user_id': '9802132', 'username': 'recordonline'}]",,,,
1304164533947240448,1304161643975368705,1599772029000,2020-09-11,02:37:09,+0530,1120170683324088320,chaendeukie,ً,,"so like to pursue musical higher education at a music school? that’s so cool!!! what instrument/s do you play? i sadly had to quit in order to get into med school, but i’ve always loved music",en,['emma_be_awkward'],[],[],1,0,1,[],[],https://twitter.com/chaendeukie/status/1304164533947240448,False,,0,,,,,,,"[{'user_id': '1120170683324088320', 'username': 'chaendeukie'}, {'user_id': '1046479103187144706', 'username': 'emma_be_awkward'}]",,,,
1304164347061637120,1304086347553017861,1599771985000,2020-09-11,02:36:25,+0530,427133379,notsethmsouza,Quincy Otis,,"The focus shouldn't be on repeatedly raising the minimum wage, so people can continue to work low level jobs. It should be on improving public education (school choice is one factor), & making higher education & vocational training programs affordable for all.",en,"['lawless64', 'repvernonjones', 'sunny', 'realdonaldtrump', 'joebiden', 'barackobama']",[],[],0,0,1,[],[],https://twitter.com/NotSethMSouza/status/1304164347061637120,False,,0,,,,,,,"[{'user_id': '427133379', 'username': 'NotSethMSouza'}, {'user_id': '47035730', 'username': 'Lawless64'}, {'user_id': '900021957424447488', 'username': 'RepVernonJones'}, {'user_id': '139847909', 'username': 'sunny'}, {'user_id': '25073877', 'username': 'realDonaldTrump'}, {'user_id': '939091', 'username': 'JoeBiden'}, {'user_id': '813286', 'username': 'BarackObama'}]",,,,
